head,relation,tail,trigger,source,score,chapter,sentence
升力线理论,instance_of,气动概念,type_taxonomy,type,0.920,,
升力面,instance_of,气动概念,type_taxonomy,type,0.920,,
升阻比,instance_of,设计参数,type_taxonomy,type,0.920,,
升降舵,instance_of,结构部件,type_taxonomy,type,0.920,,
升限,instance_of,设计参数,type_taxonomy,type,0.920,,
半经验方法,instance_of,技术,type_taxonomy,type,0.920,,
半翼展,instance_of,设计参数,type_taxonomy,type,0.920,,
单-双折叠翼变体飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
单-双折叠翼变体飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
单翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼机,instance_of,飞行器,type_taxonomy,type,0.920,,
单翼构型,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼状态,instance_of,机翼构型,type_taxonomy,type,0.920,,
压力中心,instance_of,气动概念,type_taxonomy,type,0.920,,
压力分布,instance_of,气动概念,type_taxonomy,type,0.920,,
原理验证,instance_of,技术,type_taxonomy,type,0.920,,
原理验证机,instance_of,飞行器,type_taxonomy,type,0.920,,
双翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼机,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼机,instance_of,飞行器,type_taxonomy,type,0.920,,
双翼构型,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼状态,instance_of,机翼构型,type_taxonomy,type,0.920,,
双连杆,instance_of,结构部件,type_taxonomy,type,0.920,,
变体包线,instance_of,概念,type_taxonomy,type,0.920,,
变体技术,instance_of,技术,type_taxonomy,type,0.920,,
变体过程,instance_of,概念,type_taxonomy,type,0.920,,
变体过程,instance_of,飞行阶段,type_taxonomy,type,0.920,,
变体飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
变体飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
变后掠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
变展长变体技术,instance_of,技术,type_taxonomy,type,0.920,,
可靠性,instance_of,性能指标,type_taxonomy,type,0.920,,
同步失速,instance_of,气动概念,type_taxonomy,type,0.920,,
后掠角,instance_of,设计参数,type_taxonomy,type,0.920,,
后起落架,instance_of,结构部件,type_taxonomy,type,0.920,,
启明星50,instance_of,飞行器,type_taxonomy,type,0.920,,
固定机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
地面试验,instance_of,技术,type_taxonomy,type,0.920,,
垂尾,instance_of,结构部件,type_taxonomy,type,0.920,,
增升装置,instance_of,结构部件,type_taxonomy,type,0.920,,
复合材料,instance_of,材料,type_taxonomy,type,0.920,,
多腹板式机翼,instance_of,概念,type_taxonomy,type,0.920,,
太阳神,instance_of,飞行器,type_taxonomy,type,0.920,,
太阳能无人机,instance_of,飞行器,type_taxonomy,type,0.920,,
失效安全性,instance_of,性能指标,type_taxonomy,type,0.920,,
失效安全性,instance_of,概念,type_taxonomy,type,0.920,,
失速,instance_of,气动概念,type_taxonomy,type,0.920,,
失速攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
失速速度,instance_of,气动概念,type_taxonomy,type,0.920,,
失速速度,instance_of,设计参数,type_taxonomy,type,0.920,,
奥斯瓦尔德因子,instance_of,气动概念,type_taxonomy,type,0.920,,
安全性,instance_of,性能指标,type_taxonomy,type,0.920,,
实际攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
尾翼,instance_of,结构部件,type_taxonomy,type,0.920,,
层流,instance_of,气动概念,type_taxonomy,type,0.920,,
层流减阻,instance_of,技术,type_taxonomy,type,0.920,,
展向升力分布,instance_of,气动概念,type_taxonomy,type,0.920,,
展向流动,instance_of,气动概念,type_taxonomy,type,0.920,,
展弦比,instance_of,设计参数,type_taxonomy,type,0.920,,
嵌套网格,instance_of,技术,type_taxonomy,type,0.920,,
巡航,instance_of,飞行阶段,type_taxonomy,type,0.920,,
巡航升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航升阻比,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航速度,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航高度,instance_of,设计参数,type_taxonomy,type,0.920,,
工程梁模型法,instance_of,技术,type_taxonomy,type,0.920,,
差动,instance_of,控制方法,type_taxonomy,type,0.920,,
平均展长,instance_of,设计参数,type_taxonomy,type,0.920,,
平均弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
平尾,instance_of,结构部件,type_taxonomy,type,0.920,,
平直机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
广义速度,instance_of,概念,type_taxonomy,type,0.920,,
应用场景,instance_of,概念,type_taxonomy,type,0.920,,
应用方向,instance_of,概念,type_taxonomy,type,0.920,,
张线,instance_of,结构部件,type_taxonomy,type,0.920,,
弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
弯度,instance_of,气动概念,type_taxonomy,type,0.920,,
强度,instance_of,设计参数,type_taxonomy,type,0.920,,
扭转角,instance_of,设计参数,type_taxonomy,type,0.920,,
扰动力,instance_of,设计参数,type_taxonomy,type,0.920,,
扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
抗扭刚度,instance_of,设计参数,type_taxonomy,type,0.920,,
抗风能力,instance_of,性能指标,type_taxonomy,type,0.920,,
折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
拉格朗日方法,instance_of,控制方法,type_taxonomy,type,0.920,,
拟坐标,instance_of,概念,type_taxonomy,type,0.920,,
挂钩,instance_of,结构部件,type_taxonomy,type,0.920,,
控制方程,instance_of,公式,type_taxonomy,type,0.920,,
推重比,instance_of,设计参数,type_taxonomy,type,0.920,,
摄像头,instance_of,结构部件,type_taxonomy,type,0.920,,
摩擦阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
操稳特性,instance_of,性能指标,type_taxonomy,type,0.920,,
操纵性能,instance_of,性能指标,type_taxonomy,type,0.920,,
支撑翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
支柱,instance_of,结构部件,type_taxonomy,type,0.920,,
收益代价,instance_of,概念,type_taxonomy,type,0.920,,
攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
数值仿真,instance_of,技术,type_taxonomy,type,0.920,,
方向舵,instance_of,结构部件,type_taxonomy,type,0.920,,
无侦-7,instance_of,飞行器,type_taxonomy,type,0.920,,
无刷电机,instance_of,结构部件,type_taxonomy,type,0.920,,
无量纲位置参数,instance_of,设计参数,type_taxonomy,type,0.920,,
无量纲量,instance_of,设计参数,type_taxonomy,type,0.920,,
普朗特,instance_of,人物,type_taxonomy,type,0.920,,
最大升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
最大起飞重量,instance_of,设计参数,type_taxonomy,type,0.920,,
最大速度,instance_of,设计参数,type_taxonomy,type,0.920,,
有效攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
有效载荷,instance_of,设计参数,type_taxonomy,type,0.920,,
机头,instance_of,结构部件,type_taxonomy,type,0.920,,
机翼上表面,instance_of,气动概念,type_taxonomy,type,0.920,,
机翼前缘,instance_of,气动概念,type_taxonomy,type,0.920,,
机翼厚度,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼弯度,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼弯矩,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
机翼面积,instance_of,设计参数,type_taxonomy,type,0.920,,
机身,instance_of,结构部件,type_taxonomy,type,0.920,,
机身根部,instance_of,结构部件,type_taxonomy,type,0.920,,
机身油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
来流攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
柔性桁架,instance_of,技术,type_taxonomy,type,0.920,,
桁架,instance_of,结构部件,type_taxonomy,type,0.920,,
桁架式结构,instance_of,概念,type_taxonomy,type,0.920,,
梁式机翼,instance_of,概念,type_taxonomy,type,0.920,,
梢根比,instance_of,设计参数,type_taxonomy,type,0.920,,
梯形翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
气动中心,instance_of,概念,type_taxonomy,type,0.920,,
气动中心,instance_of,气动概念,type_taxonomy,type,0.920,,
气动优化,instance_of,技术,type_taxonomy,type,0.920,,
气动力矩,instance_of,气动概念,type_taxonomy,type,0.920,,
气动力驱动,instance_of,控制方法,type_taxonomy,type,0.920,,
气动力驱动变体,instance_of,技术,type_taxonomy,type,0.920,,
气动干扰,instance_of,气动概念,type_taxonomy,type,0.920,,
气动弹性,instance_of,气动概念,type_taxonomy,type,0.920,,
气动效率,instance_of,性能指标,type_taxonomy,type,0.920,,
气动最优展弦比,instance_of,概念,type_taxonomy,type,0.920,,
气动舵面,instance_of,结构部件,type_taxonomy,type,0.920,,
油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
波音737,instance_of,飞行器,type_taxonomy,type,0.920,,
波音777-X,instance_of,飞行器,type_taxonomy,type,0.920,,
活动机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
流动分离,instance_of,气动概念,type_taxonomy,type,0.920,,
清华大学陈海昕课题组,instance_of,组织机构,type_taxonomy,type,0.920,,
滑动蒙皮,instance_of,技术,type_taxonomy,type,0.920,,
滑行,instance_of,飞行阶段,type_taxonomy,type,0.920,,
滚转力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
滚转扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
燃油重量,instance_of,设计参数,type_taxonomy,type,0.920,,
物理模型,instance_of,技术,type_taxonomy,type,0.920,,
电推杆,instance_of,结构部件,type_taxonomy,type,0.920,,
电机,instance_of,结构部件,type_taxonomy,type,0.920,,
电池,instance_of,结构部件,type_taxonomy,type,0.920,,
着陆,instance_of,飞行阶段,type_taxonomy,type,0.920,,
碳纤维,instance_of,材料,type_taxonomy,type,0.920,,
稳定性,instance_of,性能指标,type_taxonomy,type,0.920,,
空中变体,instance_of,飞行阶段,type_taxonomy,type,0.920,,
空中变体试验,instance_of,技术,type_taxonomy,type,0.920,,
空中机动性能,instance_of,性能指标,type_taxonomy,type,0.920,,
空客公司,instance_of,组织机构,type_taxonomy,type,0.920,,
空速管,instance_of,结构部件,type_taxonomy,type,0.920,,
突风包线,instance_of,概念,type_taxonomy,type,0.920,,
突风过载,instance_of,设计参数,type_taxonomy,type,0.920,,
端板效应,instance_of,气动概念,type_taxonomy,type,0.920,,
纵墙,instance_of,结构部件,type_taxonomy,type,0.920,,
线性区,instance_of,气动概念,type_taxonomy,type,0.920,,
结构重量,instance_of,设计参数,type_taxonomy,type,0.920,,
结构钢,instance_of,材料,type_taxonomy,type,0.920,,
续航性能,instance_of,性能指标,type_taxonomy,type,0.920,,
续航时间,instance_of,设计参数,type_taxonomy,type,0.920,,
维护,instance_of,飞行阶段,type_taxonomy,type,0.920,,
美国军队,instance_of,组织机构,type_taxonomy,type,0.920,,
美国空军,instance_of,组织机构,type_taxonomy,type,0.920,,
美国陆军,instance_of,组织机构,type_taxonomy,type,0.920,,
翼台,instance_of,结构部件,type_taxonomy,type,0.920,,
翼尖,instance_of,结构部件,type_taxonomy,type,0.920,,
翼尖弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
翼尖涡,instance_of,气动概念,type_taxonomy,type,0.920,,
翼尖涡流,instance_of,气动概念,type_taxonomy,type,0.920,,
翼展,instance_of,设计参数,type_taxonomy,type,0.920,,
翼展比,instance_of,设计参数,type_taxonomy,type,0.920,,
翼根,instance_of,结构部件,type_taxonomy,type,0.920,,
翼根处,instance_of,结构部件,type_taxonomy,type,0.920,,
翼根弯矩,instance_of,设计参数,type_taxonomy,type,0.920,,
翼梁,instance_of,结构部件,type_taxonomy,type,0.920,,
翼肋,instance_of,结构部件,type_taxonomy,type,0.920,,
翼载荷,instance_of,设计参数,type_taxonomy,type,0.920,,
背景网格,instance_of,技术,type_taxonomy,type,0.920,,
背负式进气道,instance_of,结构部件,type_taxonomy,type,0.920,,
自转角,instance_of,设计参数,type_taxonomy,type,0.920,,
自转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
航时,instance_of,设计参数,type_taxonomy,type,0.920,,
航母起降,instance_of,概念,type_taxonomy,type,0.920,,
航程,instance_of,设计参数,type_taxonomy,type,0.920,,
舰载起降,instance_of,概念,type_taxonomy,type,0.920,,
舵效,instance_of,气动概念,type_taxonomy,type,0.920,,
舵机,instance_of,结构部件,type_taxonomy,type,0.920,,
舵面,instance_of,结构部件,type_taxonomy,type,0.920,,
芒克,instance_of,人物,type_taxonomy,type,0.920,,
苍鹭,instance_of,飞行器,type_taxonomy,type,0.920,,
莫哈韦,instance_of,飞行器,type_taxonomy,type,0.920,,
蒙皮,instance_of,结构部件,type_taxonomy,type,0.920,,
薄翼理论,instance_of,气动概念,type_taxonomy,type,0.920,,
螺旋桨,instance_of,结构部件,type_taxonomy,type,0.920,,
西风,instance_of,飞行器,type_taxonomy,type,0.920,,
角度传感器,instance_of,结构部件,type_taxonomy,type,0.920,,
解耦控制策略,instance_of,概念,type_taxonomy,type,0.920,,
计算流体动力学,instance_of,技术,type_taxonomy,type,0.920,,
设计参数,instance_of,概念,type_taxonomy,type,0.920,,
设计规律,instance_of,概念,type_taxonomy,type,0.920,,
试飞,instance_of,技术,type_taxonomy,type,0.920,,
诱导阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
诱导阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
课题组,instance_of,组织机构,type_taxonomy,type,0.920,,
负担转角,instance_of,设计参数,type_taxonomy,type,0.920,,
起落架,instance_of,结构部件,type_taxonomy,type,0.920,,
起降,instance_of,飞行阶段,type_taxonomy,type,0.920,,
起降性能,instance_of,性能指标,type_taxonomy,type,0.920,,
起飞,instance_of,飞行阶段,type_taxonomy,type,0.920,,
起飞距离,instance_of,设计参数,type_taxonomy,type,0.920,,
车载试验,instance_of,技术,type_taxonomy,type,0.920,,
转动惯量,instance_of,设计参数,type_taxonomy,type,0.920,,
转轴,instance_of,结构部件,type_taxonomy,type,0.920,,
轴承,instance_of,结构部件,type_taxonomy,type,0.920,,
过载,instance_of,设计参数,type_taxonomy,type,0.920,,
过载包线,instance_of,概念,type_taxonomy,type,0.920,,
过载能力,instance_of,性能指标,type_taxonomy,type,0.920,,
进气道,instance_of,结构部件,type_taxonomy,type,0.920,,
连接翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
连杆,instance_of,结构部件,type_taxonomy,type,0.920,,
通用原子,instance_of,组织机构,type_taxonomy,type,0.920,,
速度包线,instance_of,概念,type_taxonomy,type,0.920,,
重叠网格,instance_of,技术,type_taxonomy,type,0.920,,
重心,instance_of,概念,type_taxonomy,type,0.920,,
重量结构模块,instance_of,概念,type_taxonomy,type,0.920,,
金属底座,instance_of,结构部件,type_taxonomy,type,0.920,,
金属转轴,instance_of,结构部件,type_taxonomy,type,0.920,,
铝合金,instance_of,材料,type_taxonomy,type,0.920,,
铰链,instance_of,结构部件,type_taxonomy,type,0.920,,
铰链力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
锁定机构,instance_of,结构部件,type_taxonomy,type,0.920,,
锥形孔,instance_of,结构部件,type_taxonomy,type,0.920,,
锥形滑块,instance_of,结构部件,type_taxonomy,type,0.920,,
长桁,instance_of,结构部件,type_taxonomy,type,0.920,,
长航时无人机,instance_of,飞行器,type_taxonomy,type,0.920,,
长航时飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
长航时飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
零升攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
零升阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
零升阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
雷诺数,instance_of,设计参数,type_taxonomy,type,0.920,,
非定常效应,instance_of,气动概念,type_taxonomy,type,0.920,,
非定常气动力,instance_of,气动概念,type_taxonomy,type,0.920,,
非线性区,instance_of,气动概念,type_taxonomy,type,0.920,,
飞行包线,instance_of,概念,type_taxonomy,type,0.920,,
飞行稳定性,instance_of,性能指标,type_taxonomy,type,0.920,,
飞行试验,instance_of,技术,type_taxonomy,type,0.920,,
马赫数,instance_of,设计参数,type_taxonomy,type,0.920,,
驱动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
鲁棒性,instance_of,性能指标,type_taxonomy,type,0.920,,
鸭翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
主油箱,located_at,机身,布置于,trigger,0.890,第7章单-双折叠翼变体飞行器总体设计方法研究,油箱布置：常规飞行器的油箱通常分为机翼油箱和机身油箱两部分，以“全球鹰”为例，其主油箱布置于机身发动机的下方，两个副油箱布置于机翼中靠近翼稍的位置，在存放燃油的同时可以起到降低机翼弯矩的作用。
螺旋桨,located_at,机头,安装于,trigger+pattern,0.880,第8章单-双折叠翼变体飞行器的原理验证研究,原理验证机动力为1.3kw的无刷电机搭配14寸螺旋桨，安装于机头，功重比0.05，电动机使用6S锂电池供电，飞机动力采用拉式布局，电机和螺旋桨按安装在在机身前端。
摩擦阻力,reduces,气动最优展弦比,进一步降低,trigger,0.880,第2章大展弦比变展长变体飞行器设计规律研究,除此之外，高空飞行时的雷诺数较低，易于实现层流，随着层流减阻等技术的发展，高空飞行器的摩擦阻力有望进一步降低，其气动最优展弦比也将进一步增大。
变展长变体技术,develops,单-双折叠翼变体飞行器,发展和完善,trigger,0.870,第3章单-双折叠翼变体飞行器概念的发展和完善,针对现有变展长变体技术的缺陷，发展和完善了单-双折叠翼变体飞行器的新概念，这种新型飞行器使用气动力驱动变体，有效解决了现有变体技术在结构重量和空间侵占等方面代价大，难以应用于大展弦比飞行器的缺陷。
电推杆,drives,锥形滑块,驱动,trigger,0.860,第8章单-双折叠翼变体飞行器的原理验证研究,当机翼从双翼变为单翼时，固定机翼和活动机翼的端面对齐，电推杆驱动锥形滑块和活动碳管向外移动，从而将活动碳管的一半插入活动机翼的碳管梁中，完成了两个活动机翼的固定。
上机翼,located_at,下机翼,位于,trigger+pattern+pattern+pattern+pattern+pattern+pattern+dep,0.860,第4章单-双折叠翼变体飞行器的气动特性研究,通过对上下机翼处于不同相对位置时机翼的零升攻角等值线图的分析，可以得出：若将双翼作为一个整体来看，当上机翼位于下机翼斜前方时，双翼的零升攻角将提前；
副翼偏转,located_at,线性区,处于,trigger+dep,0.860,第4章单-双折叠翼变体飞行器的气动特性研究,研究表明，在进行副翼设计和飞行控制算法设计时，应保证变体过程中副翼偏转处于线性区；
单-双折叠翼变体飞机,located_at,单翼构型,处于,trigger,0.860,第7章单-双折叠翼变体飞行器总体设计方法研究,当单-双折叠翼变体飞机处于单翼构型时，其最大升力系数较高，对应的失速速度也较低，最小速度包线偏左；
活动机翼,located_at,单翼状态,处于,trigger+dep,0.860,第5章单-双折叠翼变体飞行器的动力学和控制研究,在该设计参数下，单侧活动机翼的最大阻力约为900N，当变体过程中发生失效，一侧的活动机翼处于单翼状态，一侧的活动机翼处于双翼状态时，变体带来的偏航扰动力矩最大，该最大偏航力矩约10000N·m。
活动机翼,located_at,双翼构型,处于,trigger+dep,0.860,第5章单-双折叠翼变体飞行器的动力学和控制研究,当两侧的变体极端不对称时，即一侧的活动机翼处于双翼构型，一侧的活动机翼处于单翼构型时，此不对称力矩最大。
升力,connected_to,活动机翼,和X连接,pattern,0.850,第6章单-双折叠翼变体飞行器的结构机构设计研究,在变形过程中，随着机翼位置的变化和副翼的偏转，活动机翼的升力大小和升力中心的位置也发生改变，此时活动机翼的升力和重力在活动机翼和连杆连接处会产生扭矩。
固定机翼,connected_to,活动机翼,和X连接,pattern,0.850,第3章单-双折叠翼变体飞行器概念的发展和完善,其中，连杆与固定机翼和活动机翼之间均为铰接。
活动机翼,connected_to,固定机翼,与X连接,pattern,0.850,第3章单-双折叠翼变体飞行器概念的发展和完善,在从双翼构型到单翼构型的变体过程中，两个活动机翼首先与机身解除固定，随后向上向外运动，带动连杆向外旋转，直到活动机翼与固定机翼端面对接，活动机翼与固定机翼通过相应的固定锁定机构固连在一起，最终成为一架大展弦比单翼机；
活动机翼,connected_to,机身,与X连接,pattern,0.850,第3章单-双折叠翼变体飞行器概念的发展和完善,在从单翼构型到双翼构型的变体过程中，两个活动机翼首先与固定机翼解除固定，随后两个活动机翼向上向内运动，带动连杆向内旋转，直到活动机翼与机身对应的机构对接，平行地固定在活动机翼上方，形成一架上下双翼式布局的飞机。
活动机翼,connected_to,连杆,和X连接,pattern,0.850,第4章单-双折叠翼变体飞行器的气动特性研究,副翼偏转所产生的额外气动力有相对固定的作用中心，同时副翼偏转所引起的俯仰力矩变化远大于机翼攻角改变所引起的俯仰力矩变化，活动机翼和连杆的连接点应布置在上述作用中心所在位置。
翼尖,connected_to,铰链,与X连接,pattern,0.850,第1章绪论,折叠翼尖的典型代表是1964年首飞的XB-70轰炸机，XB-70采用了大三角翼的设计，其翼尖与主机翼之间以铰链连接，在高速飞行时XB-70的翼尖可以向下折叠，一方面破坏掉部分升力，有利于超声速配平，另一方面也起到垂直安定面的作用。
连杆,connected_to,固定机翼,与X连接,pattern,0.850,第7章单-双折叠翼变体飞行器总体设计方法研究,在满足上述几何关系的情况下，连杆可以平行布置在双翼间的任意位置，考虑到飞行控制的需求，连杆与活动机翼的连接点应尽量布置在活动机翼的升力中心或重心处，在此基础上根据杆长确定可以确定连杆与固定机翼的连接点。
连杆,connected_to,活动机翼,与X连接,pattern,0.850,第4章单-双折叠翼变体飞行器的气动特性研究,据此，若连杆与活动机翼的连接处位于45%弦长左右位置，可以最大程度的减少变体过程中连杆的受力。
最大升力系数,improves,双翼构型,增强,trigger,0.850,第7章单-双折叠翼变体飞行器总体设计方法研究,提高双翼构型的最大升力系数，增强双翼构型的起降性能；
