head,relation,tail,trigger,source,score,chapter,sentence
充气式伸缩翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
全球鹰,instance_of,飞行器,type_taxonomy,type,0.920,,
公转角,instance_of,设计参数,type_taxonomy,type,0.920,,
公转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
六轴加速度传感器,instance_of,结构部件,type_taxonomy,type,0.920,,
内侧副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
内侧端面,instance_of,结构部件,type_taxonomy,type,0.920,,
内副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
分布涡,instance_of,气动概念,type_taxonomy,type,0.920,,
刚度,instance_of,设计参数,type_taxonomy,type,0.920,,
前后间距,instance_of,设计参数,type_taxonomy,type,0.920,,
前线机场,instance_of,概念,type_taxonomy,type,0.920,,
副油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼上偏,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼作动器,instance_of,结构部件,type_taxonomy,type,0.920,,
副翼偏角,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼偏转,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼偏转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼差动,instance_of,控制方法,type_taxonomy,type,0.920,,
副翼弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼面积,instance_of,设计参数,type_taxonomy,type,0.920,,
副翼面积占比,instance_of,结构部件,type_taxonomy,type,0.920,,
功重比,instance_of,设计参数,type_taxonomy,type,0.920,,
动力学方程,instance_of,公式,type_taxonomy,type,0.920,,
动力学模型,instance_of,概念,type_taxonomy,type,0.920,,
动压,instance_of,设计参数,type_taxonomy,type,0.920,,
升力,instance_of,气动概念,type_taxonomy,type,0.920,,
升力下降,instance_of,气动概念,type_taxonomy,type,0.920,,
升力中心,instance_of,气动概念,type_taxonomy,type,0.920,,
升力变化,instance_of,气动概念,type_taxonomy,type,0.920,,
升力损失,instance_of,气动概念,type_taxonomy,type,0.920,,
升力曲线,instance_of,气动概念,type_taxonomy,type,0.920,,
升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
升力系数损失,instance_of,设计参数,type_taxonomy,type,0.920,,
升力线斜率,instance_of,设计参数,type_taxonomy,type,0.920,,
升力线理论,instance_of,气动概念,type_taxonomy,type,0.920,,
升力补偿,instance_of,气动概念,type_taxonomy,type,0.920,,
升力计算方法,instance_of,气动概念,type_taxonomy,type,0.920,,
升力面,instance_of,气动概念,type_taxonomy,type,0.920,,
升阻比,instance_of,设计参数,type_taxonomy,type,0.920,,
升降舵,instance_of,结构部件,type_taxonomy,type,0.920,,
升限,instance_of,设计参数,type_taxonomy,type,0.920,,
半经验方法,instance_of,技术,type_taxonomy,type,0.920,,
半翼展,instance_of,设计参数,type_taxonomy,type,0.920,,
单-双折叠翼变体,instance_of,概念,type_taxonomy,type,0.920,,
单-双折叠翼变体飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
单-双折叠翼变体飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
单块式机翼,instance_of,概念,type_taxonomy,type,0.920,,
单翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼机,instance_of,飞行器,type_taxonomy,type,0.920,,
单翼构型,instance_of,机翼构型,type_taxonomy,type,0.920,,
单翼状态,instance_of,机翼构型,type_taxonomy,type,0.920,,
压力中心,instance_of,气动概念,type_taxonomy,type,0.920,,
压力分布,instance_of,气动概念,type_taxonomy,type,0.920,,
原则,instance_of,概念,type_taxonomy,type,0.920,,
原理验证,instance_of,技术,type_taxonomy,type,0.920,,
原理验证机,instance_of,飞行器,type_taxonomy,type,0.920,,
双翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼式布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼机,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼机,instance_of,飞行器,type_taxonomy,type,0.920,,
双翼构型,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼气动性能,instance_of,气动概念,type_taxonomy,type,0.920,,
双翼气动理论,instance_of,气动概念,type_taxonomy,type,0.920,,
双翼气动设计,instance_of,气动概念,type_taxonomy,type,0.920,,
双翼状态,instance_of,机翼构型,type_taxonomy,type,0.920,,
双翼理论,instance_of,技术,type_taxonomy,type,0.920,,
双连杆,instance_of,结构部件,type_taxonomy,type,0.920,,
变体,instance_of,概念,type_taxonomy,type,0.920,,
变体包线,instance_of,概念,type_taxonomy,type,0.920,,
变体技术,instance_of,技术,type_taxonomy,type,0.920,,
变体控制,instance_of,控制方法,type_taxonomy,type,0.920,,
变体过程,instance_of,概念,type_taxonomy,type,0.920,,
变体过程,instance_of,飞行阶段,type_taxonomy,type,0.920,,
变体过程中,instance_of,概念,type_taxonomy,type,0.920,,
变体飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
变体飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
变体飞行速度,instance_of,设计参数,type_taxonomy,type,0.920,,
变后掠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
变展长变体技术,instance_of,技术,type_taxonomy,type,0.920,,
可靠性,instance_of,性能指标,type_taxonomy,type,0.920,,
同步失速,instance_of,气动概念,type_taxonomy,type,0.920,,
后掠角,instance_of,设计参数,type_taxonomy,type,0.920,,
后起落架,instance_of,结构部件,type_taxonomy,type,0.920,,
启明星50,instance_of,飞行器,type_taxonomy,type,0.920,,
固定机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
固定机翼副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
地面试验,instance_of,技术,type_taxonomy,type,0.920,,
垂尾,instance_of,结构部件,type_taxonomy,type,0.920,,
增升装置,instance_of,结构部件,type_taxonomy,type,0.920,,
增强抗扭性能,instance_of,概念,type_taxonomy,type,0.920,,
复合材料,instance_of,材料,type_taxonomy,type,0.920,,
外侧副翼,instance_of,结构部件,type_taxonomy,type,0.920,,
外侧端面,instance_of,结构部件,type_taxonomy,type,0.920,,
多腹板式机翼,instance_of,概念,type_taxonomy,type,0.920,,
大展弦比单翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
太阳神,instance_of,飞行器,type_taxonomy,type,0.920,,
太阳能无人机,instance_of,飞行器,type_taxonomy,type,0.920,,
失效安全性,instance_of,性能指标,type_taxonomy,type,0.920,,
失效安全性,instance_of,概念,type_taxonomy,type,0.920,,
失速,instance_of,气动概念,type_taxonomy,type,0.920,,
失速攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
失速速度,instance_of,气动概念,type_taxonomy,type,0.920,,
失速速度,instance_of,设计参数,type_taxonomy,type,0.920,,
奥斯瓦尔德因子,instance_of,气动概念,type_taxonomy,type,0.920,,
安全性,instance_of,性能指标,type_taxonomy,type,0.920,,
定常计算,instance_of,技术,type_taxonomy,type,0.920,,
实际攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
对称面,instance_of,结构部件,type_taxonomy,type,0.920,,
尾翼,instance_of,结构部件,type_taxonomy,type,0.920,,
层流,instance_of,气动概念,type_taxonomy,type,0.920,,
层流减阻,instance_of,技术,type_taxonomy,type,0.920,,
展向升力中心,instance_of,组织机构,type_taxonomy,type,0.920,,
展向升力分布,instance_of,气动概念,type_taxonomy,type,0.920,,
展向流动,instance_of,气动概念,type_taxonomy,type,0.920,,
展开变体,instance_of,概念,type_taxonomy,type,0.920,,
展弦比,instance_of,设计参数,type_taxonomy,type,0.920,,
嵌套网格,instance_of,技术,type_taxonomy,type,0.920,,
巡航,instance_of,飞行阶段,type_taxonomy,type,0.920,,
巡航升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航升阻比,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航速度,instance_of,设计参数,type_taxonomy,type,0.920,,
巡航高度,instance_of,设计参数,type_taxonomy,type,0.920,,
工程梁模型法,instance_of,技术,type_taxonomy,type,0.920,,
差动,instance_of,控制方法,type_taxonomy,type,0.920,,
差动偏转,instance_of,控制方法,type_taxonomy,type,0.920,,
平均展长,instance_of,设计参数,type_taxonomy,type,0.920,,
平均弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
平尾,instance_of,结构部件,type_taxonomy,type,0.920,,
平直机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
广义速度,instance_of,概念,type_taxonomy,type,0.920,,
应用场景,instance_of,概念,type_taxonomy,type,0.920,,
应用方向,instance_of,概念,type_taxonomy,type,0.920,,
张线和支柱,instance_of,结构部件,type_taxonomy,type,0.920,,
弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
弯度,instance_of,气动概念,type_taxonomy,type,0.920,,
弹性蒙皮,instance_of,结构部件,type_taxonomy,type,0.920,,
强度,instance_of,设计参数,type_taxonomy,type,0.920,,
微型舵机,instance_of,结构部件,type_taxonomy,type,0.920,,
扭转力矩,instance_of,概念,type_taxonomy,type,0.920,,
扭转角,instance_of,设计参数,type_taxonomy,type,0.920,,
扰动力,instance_of,设计参数,type_taxonomy,type,0.920,,
扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
抗弯刚度,instance_of,设计参数,type_taxonomy,type,0.920,,
抗扭刚度,instance_of,设计参数,type_taxonomy,type,0.920,,
抗风能力,instance_of,性能指标,type_taxonomy,type,0.920,,
折叠变体,instance_of,概念,type_taxonomy,type,0.920,,
折叠翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
拉格朗日方法,instance_of,控制方法,type_taxonomy,type,0.920,,
拟坐标,instance_of,概念,type_taxonomy,type,0.920,,
挂钩,instance_of,结构部件,type_taxonomy,type,0.920,,
控制方程,instance_of,公式,type_taxonomy,type,0.920,,
控制活动机翼公转,instance_of,控制方法,type_taxonomy,type,0.920,,
控制活动机翼自转,instance_of,控制方法,type_taxonomy,type,0.920,,
推重比,instance_of,设计参数,type_taxonomy,type,0.920,,
摄像头,instance_of,结构部件,type_taxonomy,type,0.920,,
摩擦阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
操稳特性,instance_of,性能指标,type_taxonomy,type,0.920,,
操纵性能,instance_of,性能指标,type_taxonomy,type,0.920,,
支撑翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
支撑翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
支柱,instance_of,结构部件,type_taxonomy,type,0.920,,
收益代价,instance_of,概念,type_taxonomy,type,0.920,,
攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
攻角变化,instance_of,设计参数,type_taxonomy,type,0.920,,
数值仿真,instance_of,技术,type_taxonomy,type,0.920,,
数据采集,instance_of,概念,type_taxonomy,type,0.920,,
方向舵,instance_of,结构部件,type_taxonomy,type,0.920,,
无侦-7,instance_of,飞行器,type_taxonomy,type,0.920,,
无刷电机,instance_of,结构部件,type_taxonomy,type,0.920,,
无量纲位置参数,instance_of,设计参数,type_taxonomy,type,0.920,,
无量纲量,instance_of,设计参数,type_taxonomy,type,0.920,,
早期双翼机,instance_of,概念,type_taxonomy,type,0.920,,
普朗特,instance_of,人物,type_taxonomy,type,0.920,,
最大副翼偏转角,instance_of,结构部件,type_taxonomy,type,0.920,,
最大升力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
最大起飞重量,instance_of,设计参数,type_taxonomy,type,0.920,,
最大速度,instance_of,设计参数,type_taxonomy,type,0.920,,
有效攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
有效载荷,instance_of,设计参数,type_taxonomy,type,0.920,,
木材,instance_of,材料,type_taxonomy,type,0.920,,
机头,instance_of,结构部件,type_taxonomy,type,0.920,,
机翼,instance_of,概念,type_taxonomy,type,0.920,,
机翼前缘,instance_of,气动概念,type_taxonomy,type,0.920,,
机翼厚度,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼受力,instance_of,概念,type_taxonomy,type,0.920,,
机翼弯矩,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼形状,instance_of,概念,type_taxonomy,type,0.920,,
机翼断开,instance_of,概念,type_taxonomy,type,0.920,,
机翼油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
机翼结构设计,instance_of,概念,type_taxonomy,type,0.920,,
机翼结构重量,instance_of,设计参数,type_taxonomy,type,0.920,,
机翼面积,instance_of,设计参数,type_taxonomy,type,0.920,,
机身,instance_of,结构部件,type_taxonomy,type,0.920,,
机身根部,instance_of,结构部件,type_taxonomy,type,0.920,,
机身油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
机身顶部,instance_of,概念,type_taxonomy,type,0.920,,
来流攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
柔性桁架,instance_of,技术,type_taxonomy,type,0.920,,
柔性蒙皮,instance_of,结构部件,type_taxonomy,type,0.920,,
桁架,instance_of,结构部件,type_taxonomy,type,0.920,,
桁架式结构,instance_of,概念,type_taxonomy,type,0.920,,
桁架结构,instance_of,结构部件,type_taxonomy,type,0.920,,
梁式机翼,instance_of,概念,type_taxonomy,type,0.920,,
梢根比,instance_of,设计参数,type_taxonomy,type,0.920,,
梯形翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
气动中心,instance_of,概念,type_taxonomy,type,0.920,,
气动中心,instance_of,气动概念,type_taxonomy,type,0.920,,
气动优化,instance_of,技术,type_taxonomy,type,0.920,,
气动力矩,instance_of,气动概念,type_taxonomy,type,0.920,,
气动力驱动,instance_of,控制方法,type_taxonomy,type,0.920,,
气动力驱动变体,instance_of,技术,type_taxonomy,type,0.920,,
气动干扰,instance_of,气动概念,type_taxonomy,type,0.920,,
气动弹性,instance_of,气动概念,type_taxonomy,type,0.920,,
气动效率,instance_of,性能指标,type_taxonomy,type,0.920,,
气动最优展弦比,instance_of,概念,type_taxonomy,type,0.920,,
气动舵面,instance_of,结构部件,type_taxonomy,type,0.920,,
油箱,instance_of,结构部件,type_taxonomy,type,0.920,,
波音737,instance_of,飞行器,type_taxonomy,type,0.920,,
波音777-X,instance_of,飞行器,type_taxonomy,type,0.920,,
活动机翼,instance_of,机翼构型,type_taxonomy,type,0.920,,
活动机翼上表面前缘,instance_of,概念,type_taxonomy,type,0.920,,
活动机翼固定,instance_of,概念,type_taxonomy,type,0.920,,
流动分离,instance_of,气动概念,type_taxonomy,type,0.920,,
流动分离区,instance_of,气动概念,type_taxonomy,type,0.920,,
流场结构,instance_of,气动概念,type_taxonomy,type,0.920,,
清华大学陈海昕课题组,instance_of,组织机构,type_taxonomy,type,0.920,,
滑动蒙皮,instance_of,技术,type_taxonomy,type,0.920,,
滑行,instance_of,飞行阶段,type_taxonomy,type,0.920,,
滚转力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
滚转扰动力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
滚转控制,instance_of,气动概念,type_taxonomy,type,0.920,,
燃油重量,instance_of,设计参数,type_taxonomy,type,0.920,,
物理模型,instance_of,技术,type_taxonomy,type,0.920,,
理论,instance_of,技术,type_taxonomy,type,0.920,,
电推杆,instance_of,结构部件,type_taxonomy,type,0.920,,
电机,instance_of,结构部件,type_taxonomy,type,0.920,,
电池,instance_of,结构部件,type_taxonomy,type,0.920,,
着陆,instance_of,飞行阶段,type_taxonomy,type,0.920,,
碳纤维复合材料,instance_of,材料,type_taxonomy,type,0.920,,
碳纤维板,instance_of,结构部件,type_taxonomy,type,0.920,,
碳纤维桁架,instance_of,结构部件,type_taxonomy,type,0.920,,
碳纤维管,instance_of,结构部件,type_taxonomy,type,0.920,,
稳定性,instance_of,性能指标,type_taxonomy,type,0.920,,
空中变体,instance_of,飞行阶段,type_taxonomy,type,0.920,,
空中变体试验,instance_of,技术,type_taxonomy,type,0.920,,
空中机动性能,instance_of,性能指标,type_taxonomy,type,0.920,,
空客公司,instance_of,组织机构,type_taxonomy,type,0.920,,
空速管,instance_of,结构部件,type_taxonomy,type,0.920,,
突风包线,instance_of,概念,type_taxonomy,type,0.920,,
突风过载,instance_of,设计参数,type_taxonomy,type,0.920,,
端板效应,instance_of,气动概念,type_taxonomy,type,0.920,,
等效攻角变化,instance_of,概念,type_taxonomy,type,0.920,,
纵墙,instance_of,结构部件,type_taxonomy,type,0.920,,
线性区,instance_of,气动概念,type_taxonomy,type,0.920,,
结构强度,instance_of,概念,type_taxonomy,type,0.920,,
结构重量,instance_of,设计参数,type_taxonomy,type,0.920,,
结构钢,instance_of,材料,type_taxonomy,type,0.920,,
续航性能,instance_of,性能指标,type_taxonomy,type,0.920,,
续航时间,instance_of,设计参数,type_taxonomy,type,0.920,,
维护,instance_of,飞行阶段,type_taxonomy,type,0.920,,
美国军队,instance_of,组织机构,type_taxonomy,type,0.920,,
美国空军,instance_of,组织机构,type_taxonomy,type,0.920,,
美国陆军,instance_of,组织机构,type_taxonomy,type,0.920,,
翼台,instance_of,结构部件,type_taxonomy,type,0.920,,
翼尖,instance_of,结构部件,type_taxonomy,type,0.920,,
翼尖弦长,instance_of,设计参数,type_taxonomy,type,0.920,,
翼尖涡,instance_of,气动概念,type_taxonomy,type,0.920,,
翼尖涡流,instance_of,气动概念,type_taxonomy,type,0.920,,
翼尖负担转角,instance_of,结构部件,type_taxonomy,type,0.920,,
翼展,instance_of,设计参数,type_taxonomy,type,0.920,,
翼展比,instance_of,设计参数,type_taxonomy,type,0.920,,
翼根,instance_of,结构部件,type_taxonomy,type,0.920,,
翼根处,instance_of,结构部件,type_taxonomy,type,0.920,,
翼根弯矩,instance_of,设计参数,type_taxonomy,type,0.920,,
翼梁,instance_of,结构部件,type_taxonomy,type,0.920,,
翼肋,instance_of,结构部件,type_taxonomy,type,0.920,,
翼载荷,instance_of,设计参数,type_taxonomy,type,0.920,,
背景网格,instance_of,技术,type_taxonomy,type,0.920,,
背负式进气道,instance_of,结构部件,type_taxonomy,type,0.920,,
自转角,instance_of,设计参数,type_taxonomy,type,0.920,,
自转角度,instance_of,设计参数,type_taxonomy,type,0.920,,
航时,instance_of,设计参数,type_taxonomy,type,0.920,,
航母起降,instance_of,概念,type_taxonomy,type,0.920,,
航程,instance_of,设计参数,type_taxonomy,type,0.920,,
舰载起降,instance_of,概念,type_taxonomy,type,0.920,,
舵效,instance_of,气动概念,type_taxonomy,type,0.920,,
舵面,instance_of,结构部件,type_taxonomy,type,0.920,,
舵面偏转,instance_of,控制方法,type_taxonomy,type,0.920,,
芒克,instance_of,人物,type_taxonomy,type,0.920,,
苍鹭,instance_of,飞行器,type_taxonomy,type,0.920,,
莫哈韦,instance_of,飞行器,type_taxonomy,type,0.920,,
菱形结构,instance_of,概念,type_taxonomy,type,0.920,,
蒙皮,instance_of,结构部件,type_taxonomy,type,0.920,,
薄翼理论,instance_of,气动概念,type_taxonomy,type,0.920,,
螺旋桨,instance_of,结构部件,type_taxonomy,type,0.920,,
西风,instance_of,飞行器,type_taxonomy,type,0.920,,
角度传感器,instance_of,结构部件,type_taxonomy,type,0.920,,
解耦控制方案,instance_of,概念,type_taxonomy,type,0.920,,
解耦控制策略,instance_of,概念,type_taxonomy,type,0.920,,
计算流体动力学,instance_of,技术,type_taxonomy,type,0.920,,
记忆合金,instance_of,材料,type_taxonomy,type,0.920,,
设计参数,instance_of,概念,type_taxonomy,type,0.920,,
设计规律,instance_of,概念,type_taxonomy,type,0.920,,
试飞,instance_of,技术,type_taxonomy,type,0.920,,
诱导阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
诱导阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
诱导阻力计算方法,instance_of,气动概念,type_taxonomy,type,0.920,,
课题组,instance_of,组织机构,type_taxonomy,type,0.920,,
负担转角,instance_of,设计参数,type_taxonomy,type,0.920,,
起落架,instance_of,结构部件,type_taxonomy,type,0.920,,
起降,instance_of,飞行阶段,type_taxonomy,type,0.920,,
起降性能,instance_of,性能指标,type_taxonomy,type,0.920,,
起降翼展,instance_of,设计参数,type_taxonomy,type,0.920,,
起飞,instance_of,飞行阶段,type_taxonomy,type,0.920,,
起飞距离,instance_of,设计参数,type_taxonomy,type,0.920,,
起飞速度,instance_of,设计参数,type_taxonomy,type,0.920,,
车载试验,instance_of,技术,type_taxonomy,type,0.920,,
转动惯量,instance_of,设计参数,type_taxonomy,type,0.920,,
转轴,instance_of,结构部件,type_taxonomy,type,0.920,,
轴承,instance_of,结构部件,type_taxonomy,type,0.920,,
过载,instance_of,设计参数,type_taxonomy,type,0.920,,
过载包线,instance_of,概念,type_taxonomy,type,0.920,,
过载能力,instance_of,性能指标,type_taxonomy,type,0.920,,
进气道,instance_of,结构部件,type_taxonomy,type,0.920,,
连接翼布局,instance_of,机翼构型,type_taxonomy,type,0.920,,
连杆,instance_of,结构部件,type_taxonomy,type,0.920,,
连杆与活动机翼连接点,instance_of,概念,type_taxonomy,type,0.920,,
连杆变形,instance_of,概念,type_taxonomy,type,0.920,,
连杆重量,instance_of,设计参数,type_taxonomy,type,0.920,,
连杆长度,instance_of,设计参数,type_taxonomy,type,0.920,,
通用原子,instance_of,组织机构,type_taxonomy,type,0.920,,
速度包线,instance_of,概念,type_taxonomy,type,0.920,,
重叠网格,instance_of,技术,type_taxonomy,type,0.920,,
重心,instance_of,概念,type_taxonomy,type,0.920,,
重量结构模块,instance_of,概念,type_taxonomy,type,0.920,,
金属底座,instance_of,结构部件,type_taxonomy,type,0.920,,
金属转轴,instance_of,结构部件,type_taxonomy,type,0.920,,
铰链,instance_of,结构部件,type_taxonomy,type,0.920,,
铰链力矩,instance_of,设计参数,type_taxonomy,type,0.920,,
锁定机构,instance_of,结构部件,type_taxonomy,type,0.920,,
锥形孔,instance_of,结构部件,type_taxonomy,type,0.920,,
锥形滑块,instance_of,结构部件,type_taxonomy,type,0.920,,
长桁,instance_of,结构部件,type_taxonomy,type,0.920,,
长航时无人机,instance_of,飞行器,type_taxonomy,type,0.920,,
长航时飞机,instance_of,飞行器,type_taxonomy,type,0.920,,
长航时飞行器,instance_of,飞行器,type_taxonomy,type,0.920,,
阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
零升攻角,instance_of,设计参数,type_taxonomy,type,0.920,,
零升攻角提前,instance_of,设计参数,type_taxonomy,type,0.920,,
零升攻角滞后,instance_of,设计参数,type_taxonomy,type,0.920,,
零升阻力,instance_of,气动概念,type_taxonomy,type,0.920,,
零升阻力系数,instance_of,设计参数,type_taxonomy,type,0.920,,
雷诺数,instance_of,设计参数,type_taxonomy,type,0.920,,
非定常效应,instance_of,气动概念,type_taxonomy,type,0.920,,
非定常气动力,instance_of,气动概念,type_taxonomy,type,0.920,,
非定常计算,instance_of,技术,type_taxonomy,type,0.920,,
非线性区,instance_of,气动概念,type_taxonomy,type,0.920,,
额外俯仰力矩,instance_of,气动概念,type_taxonomy,type,0.920,,
